tanggal,id_komoditas,id_pasar,harga,nama_komoditas,satuan
2022-01-03,1,1,9000,Beras Medium,kg
2022-01-03,2,1,10000,Beras Premium,kg
2022-01-03,3,1,35000,Cabai Merah Keriting,kg
2022-01-03,4,1,25000,Cabai Merah Besar,kg
2022-01-03,5,1,75000,Cabai Rawit Merah,kg
2022-01-03,6,1,40000,Cabai Rawit Hijau,kg
2022-01-03,7,1,25000,Bawang Merah,kg
2022-01-03,13,1,11000,Tepung Terigu,kg
2022-01-03,14,1,35000,Daging Ayam Ras,kg
2022-01-03,15,1,28000,Telur Ayam Ras,kg
2022-01-03,16,1,110000,Daging Sapi Paha Belakang,kg
2022-01-03,22,1,3000,Mie Instan,bungkus
2022-01-03,23,1,24000,Bawang Putih Honan,kg
2022-01-03,24,1,28000,Bawang Putih Kating,kg
2022-01-03,26,1,10000,Susu Kental Manis,kg
2022-01-03,29,1,65000,Daging Ayam Kampung,kg
2022-01-03,30,1,42000,Telur Ayam Kampung,kg
2022-01-04,1,1,9000,Beras Medium,kg
2022-01-04,2,1,10000,Beras Premium,kg
2022-01-04,3,1,35000,Cabai Merah Keriting,kg
2022-01-04,4,1,25000,Cabai Merah Besar,kg
2022-01-04,5,1,70000,Cabai Rawit Merah,kg
2022-01-04,6,1,40000,Cabai Rawit Hijau,kg
2022-01-04,7,1,25000,Bawang Merah,kg
2022-01-04,13,1,11000,Tepung Terigu,kg
2022-01-04,14,1,35000,Daging Ayam Ras,kg
2022-01-04,15,1,28000,Telur Ayam Ras,kg
2022-01-04,16,1,110000,Daging Sapi Paha Belakang,kg
2022-01-04,22,1,3000,Mie Instan,bungkus
2022-01-04,23,1,24000,Bawang Putih Honan,kg
2022-01-04,24,1,28000,Bawang Putih Kating,kg
2022-01-04,26,1,10000,Susu Kental Manis,kg
2022-01-04,29,1,65000,Daging Ayam Kampung,kg
2022-01-04,30,1,42000,Telur Ayam Kampung,kg
2022-01-05,1,1,9000,Beras Medium,kg
2022-01-05,2,1,10000,Beras Premium,kg
2022-01-05,3,1,35000,Cabai Merah Keriting,kg
2022-01-05,4,1,25000,Cabai Merah Besar,kg
2022-01-05,5,1,70000,Cabai Rawit Merah,kg
2022-01-05,6,1,40000,Cabai Rawit Hijau,kg
2022-01-05,7,1,25000,Bawang Merah,kg
2022-01-05,13,1,11000,Tepung Terigu,kg
2022-01-05,14,1,35000,Daging Ayam Ras,kg
2022-01-05,15,1,28000,Telur Ayam Ras,kg
2022-01-05,16,1,110000,Daging Sapi Paha Belakang,kg
2022-01-05,22,1,3000,Mie Instan,bungkus
2022-01-05,23,1,24000,Bawang Putih Honan,kg
2022-01-05,24,1,28000,Bawang Putih Kating,kg
2022-01-05,26,1,10000,Susu Kental Manis,kg
2022-01-05,29,1,65000,Daging Ayam Kampung,kg
2022-01-05,30,1,42000,Telur Ayam Kampung,kg
2022-01-06,1,1,9000,Beras Medium,kg
2022-01-06,2,1,10000,Beras Premium,kg
2022-01-06,3,1,35000,Cabai Merah Keriting,kg
2022-01-06,4,1,25000,Cabai Merah Besar,kg
2022-01-06,5,1,55000,Cabai Rawit Merah,kg
2022-01-06,6,1,40000,Cabai Rawit Hijau,kg
2022-01-06,7,1,25000,Bawang Merah,kg
2022-01-06,13,1,11000,Tepung Terigu,kg
2022-01-06,14,1,35000,Daging Ayam Ras,kg
2022-01-06,15,1,28000,Telur Ayam Ras,kg
2022-01-06,16,1,110000,Daging Sapi Paha Belakang,kg
2022-01-06,22,1,3000,Mie Instan,bungkus
2022-01-06,23,1,24000,Bawang Putih Honan,kg
2022-01-06,24,1,28000,Bawang Putih Kating,kg
2022-01-06,26,1,10000,Susu Kental Manis,kg
2022-01-06,29,1,65000,Daging Ayam Kampung,kg
2022-01-06,30,1,42000,Telur Ayam Kampung,kg
2022-01-07,1,1,9000,Beras Medium,kg
2022-01-07,2,1,10000,Beras Premium,kg
2022-01-07,3,1,35000,Cabai Merah Keriting,kg
2022-01-07,4,1,25000,Cabai Merah Besar,kg
2022-01-07,5,1,55000,Cabai Rawit Merah,kg
2022-01-07,6,1,40000,Cabai Rawit Hijau,kg
2022-01-07,7,1,25000,Bawang Merah,kg
2022-01-07,13,1,11000,Tepung Terigu,kg
2022-01-07,14,1,35000,Daging Ayam Ras,kg
2022-01-07,15,1,28000,Telur Ayam Ras,kg
2022-01-07,16,1,110000,Daging Sapi Paha Belakang,kg
2022-01-07,22,1,3000,Mie Instan,bungkus
2022-01-07,23,1,24000,Bawang Putih Honan,kg
2022-01-07,24,1,28000,Bawang Putih Kating,kg
2022-01-07,26,1,10000,Susu Kental Manis,kg
2022-01-07,29,1,65000,Daging Ayam Kampung,kg
2022-01-07,30,1,42000,Telur Ayam Kampung,kg
2022-01-10,1,1,0,Beras Medium,kg
2022-01-10,2,1,0,Beras Premium,kg
2022-01-10,3,1,0,Cabai Merah Keriting,kg
2022-01-10,4,1,0,Cabai Merah Besar,kg
2022-01-10,5,1,0,Cabai Rawit Merah,kg
2022-01-10,6,1,0,Cabai Rawit Hijau,kg
2022-01-10,7,1,0,Bawang Merah,kg
2022-01-10,13,1,0,Tepung Terigu,kg
2022-01-10,14,1,0,Daging Ayam Ras,kg
2022-01-10,15,1,0,Telur Ayam Ras,kg
2022-01-10,16,1,0,Daging Sapi Paha Belakang,kg
2022-01-10,22,1,0,Mie Instan,bungkus
2022-01-10,23,1,0,Bawang Putih Honan,kg
2022-01-10,24,1,0,Bawang Putih Kating,kg
2022-01-10,26,1,0,Susu Kental Manis,kg
2022-01-10,29,1,0,Daging Ayam Kampung,kg
2022-01-10,30,1,0,Telur Ayam Kampung,kg
2022-01-11,1,1,9000,Beras Medium,kg
2022-01-11,2,1,10000,Beras Premium,kg
2022-01-11,3,1,20000,Cabai Merah Keriting,kg
2022-01-11,4,1,20000,Cabai Merah Besar,kg
2022-01-11,5,1,40000,Cabai Rawit Merah,kg
2022-01-11,6,1,40000,Cabai Rawit Hijau,kg
2022-01-11,7,1,25000,Bawang Merah,kg
2022-01-11,13,1,11000,Tepung Terigu,kg
2022-01-11,14,1,38000,Daging Ayam Ras,kg
2022-01-11,15,1,23000,Telur Ayam Ras,kg
2022-01-11,16,1,110000,Daging Sapi Paha Belakang,kg
2022-01-11,22,1,3000,Mie Instan,bungkus
2022-01-11,23,1,26000,Bawang Putih Honan,kg
2022-01-11,24,1,28000,Bawang Putih Kating,kg
2022-01-11,26,1,10000,Susu Kental Manis,kg
2022-01-11,29,1,65000,Daging Ayam Kampung,kg
2022-01-11,30,1,42000,Telur Ayam Kampung,kg
2022-01-12,1,1,9000,Beras Medium,kg
2022-01-12,2,1,10000,Beras Premium,kg
2022-01-12,3,1,20000,Cabai Merah Keriting,kg
